step 0: classification- train loss 0.0552, classification-val loss 0.0531
iter 288: loss 0.0049, time 3278.62ms, mfu 0.43%
iter 289: loss 0.0067, time 3249.69ms, mfu 0.43%
iter 290: loss 0.0115, time 3244.25ms, mfu 0.43%
iter 291: loss 0.0050, time 3257.99ms, mfu 0.43%
iter 292: loss 0.0074, time 3238.01ms, mfu 0.43%
iter 293: loss 0.0037, time 3282.68ms, mfu 0.43%
iter 294: loss 0.0075, time 3263.06ms, mfu 0.43%
iter 295: loss 0.0089, time 3314.18ms, mfu 0.43%
iter 296: loss 0.0054, time 3305.69ms, mfu 0.43%
iter 297: loss 0.0131, time 3297.00ms, mfu 0.43%
iter 298: loss 0.1805, time 3308.14ms, mfu 0.43%
iter 299: loss 0.0024, time 3349.46ms, mfu 0.43%
iter 300: loss 0.0035, time 3292.40ms, mfu 0.43%
iter 301: loss 0.0099, time 3294.65ms, mfu 0.43%
iter 302: loss 0.0651, time 3245.32ms, mfu 0.43%
iter 303: loss 0.0051, time 3248.97ms, mfu 0.43%
iter 304: loss 0.0097, time 3280.96ms, mfu 0.43%
iter 305: loss 0.1170, time 3241.56ms, mfu 0.43%
iter 306: loss 0.0052, time 3284.63ms, mfu 0.43%
iter 307: loss 0.0200, time 3258.27ms, mfu 0.43%
iter 308: loss 0.0035, time 3271.80ms, mfu 0.43%
iter 309: loss 0.0257, time 3266.29ms, mfu 0.43%
iter 310: loss 0.0286, time 3286.25ms, mfu 0.43%
iter 311: loss 0.0077, time 3297.24ms, mfu 0.43%
iter 312: loss 0.0343, time 3272.59ms, mfu 0.43%
iter 313: loss 0.0026, time 3277.85ms, mfu 0.43%
iter 314: loss 0.0138, time 3276.45ms, mfu 0.43%
iter 315: loss 0.0015, time 3312.25ms, mfu 0.43%
iter 316: loss 0.0881, time 3273.49ms, mfu 0.43%
iter 317: loss 0.0012, time 3272.87ms, mfu 0.43%
iter 318: loss 0.0031, time 3264.35ms, mfu 0.43%
iter 319: loss 0.0103, time 3275.05ms, mfu 0.43%
iter 320: loss 0.0100, time 3267.91ms, mfu 0.43%
iter 321: loss 0.0036, time 3309.13ms, mfu 0.43%
iter 322: loss 0.0024, time 3285.83ms, mfu 0.43%
iter 323: loss 0.0079, time 3277.55ms, mfu 0.43%
iter 324: loss 0.0038, time 3277.62ms, mfu 0.43%
iter 325: loss 0.0061, time 3303.38ms, mfu 0.43%
iter 326: loss 0.0011, time 3337.20ms, mfu 0.43%
iter 327: loss 0.0034, time 3309.38ms, mfu 0.43%
iter 328: loss 0.0032, time 3289.47ms, mfu 0.43%
iter 329: loss 0.0062, time 3300.86ms, mfu 0.43%
iter 330: loss 0.0075, time 3307.18ms, mfu 0.43%
iter 331: loss 0.0017, time 3303.91ms, mfu 0.43%
iter 332: loss 0.0009, time 3334.38ms, mfu 0.43%
iter 333: loss 0.0114, time 3315.41ms, mfu 0.43%
iter 334: loss 0.0023, time 3298.82ms, mfu 0.43%
iter 335: loss 0.0018, time 3307.88ms, mfu 0.43%
iter 336: loss 0.0007, time 3285.48ms, mfu 0.43%
iter 337: loss 0.0009, time 3343.13ms, mfu 0.43%
iter 338: loss 0.0011, time 3313.83ms, mfu 0.43%
iter 339: loss 0.0016, time 3298.84ms, mfu 0.43%
iter 340: loss 0.0022, time 3298.55ms, mfu 0.43%
iter 341: loss 0.0166, time 3309.47ms, mfu 0.43%
iter 342: loss 0.1219, time 3313.45ms, mfu 0.43%
iter 343: loss 0.0049, time 3315.63ms, mfu 0.43%
iter 344: loss 0.0478, time 3298.66ms, mfu 0.43%
iter 345: loss 0.0015, time 3298.72ms, mfu 0.43%
iter 346: loss 0.0028, time 3307.15ms, mfu 0.43%
iter 347: loss 0.0012, time 3288.56ms, mfu 0.43%
iter 348: loss 0.0251, time 3341.85ms, mfu 0.43%
iter 349: loss 0.0027, time 3296.50ms, mfu 0.43%
iter 350: loss 0.0043, time 3420.04ms, mfu 0.43%
iter 351: loss 0.0031, time 3329.32ms, mfu 0.43%
iter 352: loss 0.0008, time 3304.67ms, mfu 0.43%
iter 353: loss 0.0035, time 3354.84ms, mfu 0.43%
iter 354: loss 0.0024, time 3291.60ms, mfu 0.43%
iter 355: loss 0.0055, time 3314.14ms, mfu 0.43%
iter 356: loss 0.0008, time 3303.41ms, mfu 0.43%
iter 357: loss 0.0022, time 3292.20ms, mfu 0.43%
iter 358: loss 0.0022, time 3297.78ms, mfu 0.43%
iter 359: loss 0.0012, time 3347.88ms, mfu 0.43%
iter 360: loss 0.0015, time 3296.24ms, mfu 0.43%
iter 361: loss 0.0029, time 3296.99ms, mfu 0.43%
iter 362: loss 0.0014, time 3308.02ms, mfu 0.43%
iter 363: loss 0.1150, time 3292.16ms, mfu 0.43%
iter 364: loss 0.0013, time 3350.43ms, mfu 0.43%
iter 365: loss 0.0010, time 3299.32ms, mfu 0.43%
iter 366: loss 0.0005, time 3296.96ms, mfu 0.43%
iter 367: loss 0.0012, time 3306.94ms, mfu 0.43%
iter 368: loss 0.0006, time 3307.23ms, mfu 0.43%
iter 369: loss 0.0007, time 3293.80ms, mfu 0.43%
iter 370: loss 0.0013, time 3346.91ms, mfu 0.43%
iter 371: loss 0.0036, time 3293.89ms, mfu 0.43%
iter 372: loss 0.0016, time 3298.56ms, mfu 0.43%
iter 373: loss 0.0177, time 3314.83ms, mfu 0.43%
iter 374: loss 0.0830, time 3299.88ms, mfu 0.43%
iter 375: loss 0.0026, time 3329.86ms, mfu 0.43%
iter 376: loss 0.0030, time 3312.88ms, mfu 0.43%
iter 377: loss 0.0052, time 3297.57ms, mfu 0.43%
iter 378: loss 0.0010, time 3299.03ms, mfu 0.43%
iter 379: loss 0.0033, time 3307.59ms, mfu 0.43%
iter 380: loss 0.0112, time 3317.92ms, mfu 0.43%
iter 381: loss 0.0072, time 3345.45ms, mfu 0.43%
iter 382: loss 0.0006, time 3312.82ms, mfu 0.43%
iter 383: loss 0.0008, time 3296.53ms, mfu 0.43%
iter 384: loss 0.0005, time 3309.44ms, mfu 0.43%
iter 385: loss 0.0004, time 3304.70ms, mfu 0.43%
iter 386: loss 0.0005, time 3337.97ms, mfu 0.43%
iter 387: loss 0.0003, time 3305.97ms, mfu 0.43%
iter 388: loss 0.0008, time 3292.31ms, mfu 0.43%
iter 389: loss 0.0015, time 3320.39ms, mfu 0.43%
iter 390: loss 0.0006, time 3308.08ms, mfu 0.43%
iter 391: loss 0.0121, time 3338.65ms, mfu 0.43%
iter 392: loss 0.0004, time 3318.72ms, mfu 0.43%
iter 393: loss 0.0004, time 3298.79ms, mfu 0.43%
iter 394: loss 0.0035, time 3304.50ms, mfu 0.43%
iter 395: loss 0.0006, time 3288.97ms, mfu 0.43%
iter 396: loss 0.0021, time 3314.59ms, mfu 0.43%
iter 397: loss 0.0034, time 3328.30ms, mfu 0.43%
iter 398: loss 0.0006, time 3313.63ms, mfu 0.43%
iter 399: loss 0.0002, time 3300.44ms, mfu 0.43%
iter 400: loss 0.0004, time 3298.41ms, mfu 0.43%
iter 401: loss 0.0013, time 3314.69ms, mfu 0.43%
iter 402: loss 0.0005, time 3339.27ms, mfu 0.43%
iter 403: loss 0.0022, time 3314.07ms, mfu 0.43%
iter 404: loss 0.0004, time 3299.66ms, mfu 0.43%
iter 405: loss 0.0192, time 3306.54ms, mfu 0.43%
iter 406: loss 0.0006, time 3319.72ms, mfu 0.43%
iter 407: loss 0.0004, time 3298.54ms, mfu 0.43%
iter 408: loss 0.0001, time 3360.61ms, mfu 0.43%
